,name,trimmed_name
0,stemtech corporation,stemtech
1,"del frisco's restaurant group, inc.",del frisco's restaurant group
3,"unique fabricating, inc.",unique fabricating
4,"group 1 automotive, inc",group 1 automotive
5,sprague resources lp,sprague resources
7,envivio inc,envivio
9,gtx corp,gtx
10,"nocera, inc.",nocera
11,portage fintech acquisition corporation,portage fintech acquisition
12,southern connecticut bancorp inc,southern connecticut bancorp
13,ameritrust corp,ameritrust
14,bancolombia sa,bancolombia sa
15,tootsie roll industries inc,tootsie roll industries
16,sirrus corp.,sirrus
17,sterling bancshares inc,sterling bancshares
18,ridgewood electric power trust iv,ridgewood electric power trust iv
19,"loop media, inc.",loop media
20,"nautilus biotechnology, inc.",nautilus biotechnology
21,gardiner healthcare acquisitions corp.,gardiner healthcare acquisitions
22,young innovations inc,young innovations
23,avago technologies ltd,avago technologies
25,"x4 pharmaceuticals, inc.",x4 pharmaceuticals
26,orbit international corp,orbit international
27,"viveve medical, inc.",viveve medical
28,stepstone group inc.,stepstone group
29,"allena pharmaceuticals, inc.",allena pharmaceuticals
30,"amn healthcare services, inc.",amn healthcare services
31,"world moto, inc.",world moto
32,"sunedison, inc.",sunedison
33,"cass information systems, inc.",cass information systems
34,response genetics inc,response genetics
35,"pvr partners, l. p.",pvr partners
36,"southcorp capital, inc.",southcorp capital
37,good times restaurants inc.,good times restaurants
38,"kraig biocraft laboratories, inc.",kraig biocraft laboratories
39,atlantic avenue acquisition corp,atlantic avenue acquisition
40,commonwealth income & growth fund iv,commonwealth income & growth fund iv
41,innerworkings inc,innerworkings
42,federal home loan bank of cincinnati,federal home loan bank of cincinnati
43,"tintri, inc.",tintri
44,"quest water global, inc.",quest water global
45,"water now, inc.",water now
46,"tristar wellness solutions, inc.",tristar wellness solutions
47,textura corp,textura
48,"pedro’s list, inc.",pedro’s list
51,viosolar inc.,viosolar
52,"john wiley & sons, inc.",john wiley & sons
53,anghami inc,anghami
54,tetralogic pharmaceuticals corp,tetralogic pharmaceuticals
55,asia travel corp,asia travel
56,golden star resource corp.,golden star resource
57,"prog holdings, inc.",prog holdings
58,realmark property investors ltd partnership v,realmark property investors
59,atlas america public #9 ltd.,atlas america public #9
60,winha international group ltd,winha international group
61,solid biosciences inc.,solid biosciences
62,"sienna biopharmaceuticals, inc.",sienna biopharmaceuticals
63,cnx gas corp,cnx gas
64,unifunds ltd,unifunds
65,silver eagle acquisition corp.,silver eagle acquisition
66,jaws mustang acquisition corporation,jaws mustang acquisition
68,"firemans contractors, inc.",firemans contractors
69,broad capital acquisition corp,broad capital acquisition
70,"mmtec, inc.",mmtec
71,clearway energy llc,clearway energy
72,abercrombie & fitch co.,abercrombie & fitch
73,"soellingen advisory group, inc.",soellingen advisory group
74,baosheng media group holdings ltd,baosheng media group holdings
76,"earth energy reserves, inc.",earth energy reserves
77,"nycamedia, inc.",nycamedia
78,boston scientific corporation,boston scientific
79,lordstown motors corp.,lordstown motors
80,viabuilt ventures inc.,viabuilt ventures
81,"enveric biosciences, inc.",enveric biosciences
