,line,line_nostop,line_stemmed,line_length,word_count,tagged_line,verb_percentage,adj_percentage,stopword_percentage,punctuation_percentage,number_percentage,proper_noun_percentage,symbol_count,list_markers_count,determiners_count,name_count,line_length_trans,word_count_trans,verb_percentage_trans,adj_percentage_trans,stopword_percentage_trans,punctuation_percentage_trans,number_percentage_trans,proper_noun_percentage_trans,company_count
0,OCS ,"['ocs', '']","['ocs', '']",3,2,"[('OCS', 'NN')]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.2457309396155174,1.2599210498948732,0.0,0.0,0.0,0.0,0.0,0.0,0
1,RESUMES & ,"['resumes', '']","['resumes', '']",8,2,"[('RESUMES', 'NNP'), ('&', 'CC')]",0.0,0.0,0.0,12.5,0.0,50.0,0.0,0.0,0.0,0,1.5157165665103982,1.2599210498948732,0.0,0.0,0.0,3.5355339059327378,0.0,50.0,0
2,COVER LETTERS ,"['cover', 'letters', '']","['cover', 'letters', '']",12,3,"[('COVER', 'NNP'), ('LETTERS', 'NNP')]",0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,1.6437518295172258,1.4422495703074083,0.0,0.0,0.0,0.0,0.0,100.0,0
3,Undergraduate Resource Series ,"['undergraduate', 'resource', 'series', '']","['undergraduate', 'resource', 'series', '']",27,4,"[('Undergraduate', 'NNP'), ('Resource', 'NNP'), ('Series', 'NNP')]",0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,1.933182044931763,1.5874010519681994,0.0,0.0,0.0,0.0,0.0,100.0,0
4,Office of Career Services | 54 Dunster Street ,"['office', 'career', 'services', '54', 'dunster', 'street', '']","['office', 'career', 'services', '54', 'dunster', 'street', '']",38,8,"[('Office', 'NN'), ('of', 'IN'), ('Career', 'NNP'), ('Services', 'NNPS'), ('|', 'VBD'), ('54', 'CD'), ('Dunster', 'NNP'), ('Street', 'NNP')]",12.5,0.0,2.6,2.6,12.5,37.5,0.0,0.0,0.0,0,2.069935054081614,2.0,3.5355339059327378,0.0,1.61245154965971,1.61245154965971,12.5,37.5,0
5,Harvard University | Faculty of Arts and Sciences ,"['harvard', 'university', 'faculty', 'arts', 'sciences', '']","['harvard', 'university', 'faculty', 'arts', 'sciences', '']",42,8,"[('Harvard', 'NNP'), ('University', 'NNP'), ('|', 'NNP'), ('Faculty', 'NNP'), ('of', 'IN'), ('Arts', 'NNP'), ('and', 'CC'), ('Sciences', 'NNS')]",0.0,0.0,4.8,2.4,0.0,62.5,0.0,0.0,0.0,0,2.111785764966754,2.0,0.0,0.0,2.1908902300206643,1.5491933384829668,0.0,62.5,0
6,ocsrecep@fas.harvard.edu | www.ocs.fas.harvard.edu ,"['ocsrecepfasharvardedu', 'wwwocsfasharvardedu', '']","['ocsrecepfasharvardedu', 'wwwocsfasharvardedu', '']",48,3,"[('ocsrecep', 'JJ'), ('@', 'NNP'), ('fas.harvard.edu', 'NN'), ('|', 'NNP'), ('www.ocs.fas.harvard.edu', 'NN')]",0.0,20.0,0.0,16.7,0.0,40.0,0.0,0.0,0.0,0,2.168943542395397,1.4422495703074083,0.0,4.47213595499958,0.0,4.08656334834051,0.0,40.0,0
7,© 2021 President and Fellows of Harvard College ,"['', '2021', 'president', 'fellows', 'harvard', 'college', '']","['', '2021', 'president', 'fellows', 'harvard', 'college', '']",41,9,"[('©', 'JJ'), ('2021', 'CD'), ('President', 'NNP'), ('and', 'CC'), ('Fellows', 'NNP'), ('of', 'IN'), ('Harvard', 'NNP'), ('College', 'NNP')]",0.0,12.5,4.9,0.0,12.5,50.0,0.0,0.0,0.0,0,2.1016324782757847,2.080083823051904,0.0,3.5355339059327378,2.2135943621178655,0.0,12.5,50.0,0
8,All rights reserved. ,"['rights', 'reserved', '']","['rights', 'reserved', '']",18,4,"[('All', 'DT'), ('rights', 'NNS'), ('reserved', 'VBN'), ('.', '.')]",25.0,0.0,0.0,5.6000000000000005,0.0,0.0,0.0,0.0,25.0,0,1.7826024579660034,1.5874010519681994,5.0,0.0,0.0,2.3664319132398464,0.0,0.0,0
9,No  part  of  this  publication  may  be  reproduced  in  any  way  without  the  express  written ,"['part', 'publication', 'may', 'reproduced', 'way', 'without', 'express', 'written', '']","['part', 'publication', 'may', 'reproduced', 'way', 'without', 'express', 'written', '']",70,16,"[('No', 'DT'), ('part', 'NN'), ('of', 'IN'), ('this', 'DT'), ('publication', 'NN'), ('may', 'MD'), ('be', 'VB'), ('reproduced', 'VBN'), ('in', 'IN'), ('any', 'DT'), ('way', 'NN'), ('without', 'IN'), ('the', 'DT'), ('express', 'NN'), ('written', 'VBN')]",20.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,26.700000000000003,1,2.3389428374280206,2.5198420997897464,4.47213595499958,0.0,2.932575659723036,0.0,0.0,0.0,1
10,permission of the Harvard University Faculty of Arts & Sciences Office of Career Services. ,"['permission', 'harvard', 'university', 'faculty', 'arts', 'sciences', 'office', 'career', 'services', '']","['permission', 'harvard', 'university', 'faculty', 'arts', 'sciences', 'office', 'career', 'services', '']",77,14,"[('permission', 'NN'), ('of', 'IN'), ('the', 'DT'), ('Harvard', 'NNP'), ('University', 'NNP'), ('Faculty', 'NNP'), ('of', 'IN'), ('Arts', 'NNP'), ('&', 'CC'), ('Sciences', 'NNP'), ('Office', 'NNP'), ('of', 'IN'), ('Career', 'NNP'), ('Services', 'NNPS'), ('.', '.')]",0.0,0.0,5.2,2.6,0.0,46.7,0.0,0.0,6.7,0,2.3839555034549,2.4101422641752297,0.0,0.0,2.280350850198276,1.61245154965971,0.0,46.7,0
11,07/21 ,"['0721', '']","['0721', '']",5,2,"[('07/21', 'CD')]",0.0,0.0,0.0,20.0,100.0,0.0,0.0,0.0,0.0,0,1.379729661461215,1.2599210498948732,0.0,0.0,0.0,4.47213595499958,100.0,0.0,0
12,Office of Career Services ,"['office', 'career', 'services', '']","['office', 'career', 'services', '']",22,5,"[('Office', 'NN'), ('of', 'IN'), ('Career', 'NNP'), ('Services', 'NNPS')]",0.0,0.0,4.5,0.0,0.0,25.0,0.0,0.0,0.0,0,1.8556007362580844,1.7099759466766968,0.0,0.0,2.1213203435596424,0.0,0.0,25.0,0
13,Harvard University Faculty ,"['harvard', 'university', 'faculty', '']","['harvard', 'university', 'faculty', '']",24,4,"[('Harvard', 'NNP'), ('University', 'NNP'), ('Faculty', 'NNP')]",0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,1.888175022589804,1.5874010519681994,0.0,0.0,0.0,0.0,0.0,100.0,0
14,of Arts & Sciences ,"['arts', 'sciences', '']","['arts', 'sciences', '']",15,4,"[('of', 'IN'), ('Arts', 'NNP'), ('&', 'CC'), ('Sciences', 'NNS')]",0.0,0.0,6.7,6.7,0.0,25.0,0.0,0.0,0.0,0,1.7187719275874789,1.5874010519681994,0.0,0.0,2.588435821108957,2.588435821108957,0.0,25.0,0
15,"Cambridge, MA 02138 ","['cambridge', '02138', '']","['cambridge', '02138', '']",17,4,"[('Cambridge', 'NNP'), (',', ','), ('MA', 'NNP'), ('02138', 'CD')]",0.0,0.0,0.0,5.8999999999999995,25.0,50.0,0.0,0.0,0.0,0,1.762340347832317,1.5874010519681994,0.0,0.0,0.0,2.4289915602982237,25.0,50.0,0
16,ocsrecep@fas.harvard.edu ,"['ocsrecepfasharvardedu', '']","['ocsrecepfasharvardedu', '']",24,2,"[('ocsrecep', 'JJ'), ('@', 'NNP'), ('fas.harvard.edu', 'NN')]",0.0,33.300000000000004,0.0,12.5,0.0,33.300000000000004,0.0,0.0,0.0,0,1.888175022589804,1.2599210498948732,0.0,5.770615218501404,0.0,3.5355339059327378,0.0,33.300000000000004,0
17,www.ocs.fas.harvard.edu ,"['wwwocsfasharvardedu', '']","['wwwocsfasharvardedu', '']",23,2,"[('www.ocs.fas.harvard.edu', 'NN')]",0.0,0.0,0.0,17.4,0.0,0.0,0.0,0.0,0.0,0,1.8721712305548575,1.2599210498948732,0.0,0.0,0.0,4.171330722922842,0.0,0.0,0
